Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3",0603,3,10uF,C6119842
"C101, C202, C203, C204, C206",0805,5,22uF,C45783
"C102, C103, C104, C105, C106, C107, C108, C109, C301, C302, C303, C304, C305, C306, C307, C308, C309",0603,17,100nF,C14663
"D1001, D1002, D1003, D1004, D1005, D1006, D1007, D1008, D1009, D1010, D1011, D1012, D1013, D1014, D1015, D1016, D1017, D1018, D1019, D1101, D1102, D1103, D1104, D1105, D1106, D1107, D1108, D1109, D1110, D1111, D1112, D1113, D1114, D1115, D1116, D1117, D1118, D1119, D1201, D1202, D1203, D1204, D1205, D1206, D1207, D1208, D1209, D1210, D1211, D1212, D1213, D1214, D1215, D1216, D1217, D1218, D1219, D1301, D1302, D1303, D1304, D1305, D1306, D1307, D1308, D1309, D1310, D1311, D1312, D1313, D1314, D1315, D1316, D1317, D1318, D1319, D1401, D1402, D1403, D1404, D1405, D1406, D1407, D1408, D1409, D1410, D1411, D1412, D1413, D1414, D1415, D1416, D1417, D1418, D1419, D1501, D1502, D1503, D1504, D1505, D1506, D1507, D1508, D1509, D1510, D1511, D1512, D1513, D1514, D1515, D1516, D1517, D1518, D1519, D1601, D1602, D1603, D1604, D1605, D1606, D1607, D1608, D1609, D1610, D1611, D1612, D1613, D1614, D1615, D1616, D1617, D1618, D1619, D1701, D1702, D1703, D1704, D1705, D1706, D1707, D1708, D1709, D1710, D1711, D1712, D1713, D1714, D1715, D1716, D1717, D1718, D1719, D1801, D1802, D1803, D1804, D1805, D1806, D1807, D1808, D1809, D1810, D1811, D1812, D1813, D1814, D1815, D1816, D1817, D1818, D1819, D1901, D1902, D1903, D1904, D1905, D1906, D1907, D1908, D1909, D1910, D1911, D1912, D1913, D1914, D1915, D1916, D1917, D1918, D1919, D2001, D2002, D2003, D2004, D2005, D2006, D2007, D2008, D2009, D2010",NH-B1212RGBA,200,NH-B1212RGBA-HF ,C2874114
"D201, D202",0805,2,Red LED,C84256
"D2011, D2012, D2013, D2014, D2015, D2016, D2017, D2018, D2019, D2101, D2102, D2103, D2104, D2105, D2106, D2107, D2108, D2109, D2110, D2111, D2112, D2113, D2114, D2115, D2116, D2117, D2118, D2119, D2201, D2202, D2203, D2204, D2205, D2206, D2207, D2208, D2209, D2210, D2211, D2212, D2213, D2214, D2215, D2216, D2217, D2218, D2219, D2301, D2302, D2303, D2304, D2305, D2306, D2307, D2308, D2309, D2310, D2311, D2312, D2313, D2314, D2315, D2316, D2317, D2318, D2319, D2401, D2402, D2403, D2404, D2405, D2406, D2407, D2408, D2409, D2410, D2411, D2412, D2413, D2414, D2415, D2416, D2417, D2418, D2419, D2501, D2502, D2503, D2504, D2505, D2506, D2507, D2508, D2509, D2510, D2511, D2512, D2513, D2514, D2515, D2516, D2517, D2518, D2519, D2601, D2602, D2603, D2604, D2605, D2606, D2607, D2608, D2609, D2610, D2611, D2612, D2613, D2614, D2615, D2616, D2617, D2618, D2619, D2701, D2702, D2703, D2704, D2705, D2706, D2707, D2708, D2709, D2710, D2711, D2712, D2713, D2714, D2715, D2716, D2717, D2718, D2719, D2801, D2802, D2803, D2804, D2805, D2806, D2807, D2808, D2809, D2810, D2811, D2812, D2813, D2814, D2815, D2816, D2817, D2818, D2819, D2901, D2902, D2903, D2904, D2905, D2906, D2907, D2908, D2909, D2910, D2911, D2912, D2913, D2914, D2915, D2916, D2917, D2918, D2919, D3001, D3002, D3003, D3004, D3005, D3006, D3007, D3008, D3009, D3010, D3011, D3012, D3013, D3014, D3015, D3016, D3017, D3018, D3019, D3101",NH-B1212RGBA,200,NH-B1212RGBA-HF ,C2874114
"D3102, D3103, D3104, D3105, D3106, D3107, D3108, D3109, D3110, D3111, D3112, D3113, D3114, D3115, D3116, D3117, D3118, D3119, D3201, D3202, D3203, D3204, D3205, D3206, D3207, D3208, D3209, D3210, D3211, D3212, D3213, D3214, D3215, D3216, D3217, D3218, D3219, D3301, D3302, D3303, D3304, D3305, D3306, D3307, D3308, D3309, D3310, D3311, D3312, D3313, D3314, D3315, D3316, D3317, D3318, D3319, D3401, D3402, D3403, D3404, D3405, D3406, D3407, D3408, D3409, D3410, D3411, D3412, D3413, D3414, D3415, D3416, D3417, D3418, D3419, D3501, D3502, D3503, D3504, D3505, D3506, D3507, D3508, D3509, D3510, D3511, D3512, D3513, D3514, D3515, D3516, D3517, D3518, D3519, D401, D402, D403, D404, D405, D406, D407, D408, D409, D410, D411, D412, D413, D414, D415, D416, D417, D418, D419, D501, D502, D503, D504, D505, D506, D507, D508, D509, D510, D511, D512, D513, D514, D515, D516, D517, D518, D519, D601, D602, D603, D604, D605, D606, D607, D608, D609, D610, D611, D612, D613, D614, D615, D616, D617, D618, D619, D701, D702, D703, D704, D705, D706, D707, D708, D709, D710, D711, D712, D713, D714, D715, D716, D717, D718, D719, D801, D802, D803, D804, D805, D806, D807, D808, D809, D810, D811, D812, D813, D814, D815, D816, D817, D818, D819, D901, D902, D903, D904, D905, D906, D907, D908, D909, D910, D911",NH-B1212RGBA,200,NH-B1212RGBA-HF ,C2874114
"D912, D913, D914, D915, D916, D917, D918, D919",NH-B1212RGBA,8,NH-B1212RGBA-HF ,C2874114
J101,Jack_3.5mm_KoreanHropartsElec_PJ-320D-4A_Horizontal,1,PJ-320D,C22459515
J102,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB-TYPE-C-018,C2927038
J201,JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal,1,WTB01W03BB,C3036372
L201,L_Changjiang_FNR5030S,1,2.2uH, C7588710
"Q1, Q2",SOT-23,2,AO3400A,C347475
R1,0402,1,2,C270630
"R101, R103, R108, R109, R110, R111, R112, R113, R3",0402,9,1k, C11702
"R102, R5",0402,2,10, C25077
"R104, R105, R106, R107",0402,4,5.1k,C25905
"R2, R6",0402,2,10k,C25744
"R203, R204",0402,2,200,C25087
"R301, R302, R303, R304, R305, R306",0402,6,1.8k, C25871
SW1,SW_SPST,1,SW_Omron_B3FS,C2888954
"SW101, SW102, SW103, SW104, SW105, SW106",SW_Push_1P1T_NO_6x6mm_H9.5mm,6,B3FS-1010P,C22375334
U1,HSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.1mm_ThermalVias,1,IP5305T,C2982924
U101,ESP32-S2-MINI-1,1,ESP32-S2-MINI-2-N4,C3013906
U102,LGA-12_2x2mm_P0.5mm,1,SC7A20TR,C5126709
U203,SOT-89-3,1,HT75xx-1-SOT89,C499633
U301,TSSOP-20_4.4x6.5mm_P0.65mm,1,74HCT245PW,C5980
"U302, U303, U304",SO-16_3.9x9.9mm_P1.27mm,3,TC7262C,C2887471
"U305, U306, U307, U308, U309, U310",SSOP-24_3.9x8.7mm_P0.635mm,6,TC5020D,C18221482
